% Model:              SPAD_guard ring_polygate_type3_curve.mph
% Version:            COMSOL 6.2.0.415
% Date:               Dec 4 2024, 20:29
% Dimension:          2
% Nodes:              2398
% Expressions:        2
% Description:        Streamline
% X                       Y                        Streamline               Shockley–Read–Hall recombination term
0.06044454926294665       2.4813607276554195       0                        -9.62212702907726E22
0.06043294464228116       2.4835247928552406       0                        -8.961803991488249E22
0.060415879143614716      2.4868525937036563       0                        -7.946384934977523E22
0.060397024595294724      2.4906785576208987       0                        -6.816890942336125E22
0.06039498251437281       2.4910988435349637       0                        -6.582556764965438E22
0.060379082102781735      2.4944334908107244       0                        -4.723297336535009E22
0.060353066797969146      2.5                      0                        -1.6016420284934595E22
0.06031559650443133       2.5026855138501194       0                        -4.9595486043658432E17
0.06029090368341236       2.5046056293402543       0                        -3.466108160985559E17
0.0602820911846603        2.5053495672614767       0                        -2.8874866720867667E17
0.06026554085114298       2.507187913325798        0                        -1.45709268367515232E17
0.06026234482462428       2.508196944295499        0                        -6.7200323733925904E16
